,bertram,mannering,glossin,brown,hazlewood,pleydell,dominie,sampson,dinmont,laird
bertram,0.0,0.13428526166337665,0.06747611849569404,0.11386161074223575,0.021335119620462913,0.011849857324452422,0.0031156795043903087,0.002947888504781334,0.008725958562541923,0.029802445990774567
mannering,0.13428526166337665,0.0,0.056991094185974575,0.0779223101591089,0.03256381216518054,0.011068742196331737,0.004818946942900567,0.006067696788838784,0.017323888460062945,0.01658737923240028
glossin,0.06747611849569404,0.056991094185974575,0.0,0.1479522518663312,0.02290038211293411,0.04497170233519128,0.09436187069969873,0.0973285969794098,0.05431564396702597,0.2405147297968566
brown,0.11386161074223575,0.0779223101591089,0.1479522518663312,0.0,0.11963928662851392,0.2141490201094567,0.08887789785639014,0.08066703874303507,0.06956202718384501,0.14739918630901808
hazlewood,0.021335119620462913,0.03256381216518054,0.02290038211293411,0.11963928662851392,0.0,0.0768644603218881,0.08778303499899802,0.09147188145669242,0.02948038584066601,0.31258166576088176
pleydell,0.011849857324452422,0.011068742196331737,0.04497170233519128,0.2141490201094567,0.0768644603218881,0.0,0.17763533940250614,0.18669555361378667,0.06485135878867088,0.46563793279322613
dominie,0.0031156795043903087,0.004818946942900567,0.09436187069969873,0.08887789785639014,0.08778303499899802,0.17763533940250614,0.0,0.016085184456554224,0.061927953670645484,0.21255756977207302
sampson,0.002947888504781334,0.006067696788838784,0.0973285969794098,0.08066703874303507,0.09147188145669242,0.18669555361378667,0.016085184456554224,0.0,0.09317433221270385,0.22395829965745162
dinmont,0.008725958562541923,0.017323888460062945,0.05431564396702597,0.06956202718384501,0.02948038584066601,0.06485135878867088,0.061927953670645484,0.09317433221270385,0.0,0.3947062826829901
laird,0.029802445990774567,0.01658737923240028,0.2405147297968566,0.14739918630901808,0.31258166576088176,0.46563793279322613,0.21255756977207302,0.22395829965745162,0.3947062826829901,0.0
