,varney,tressilian,elizabeth,lambourne,janet,amy,foster,blount,michael lambourne,anthony foster
varney,0.0,0.0433636520412503,0.0076060255016141345,0.01361524134411651,0.012240895429298815,0.004088566899227083,0.0010919477146394412,0.015628514314406882,0.019259801917159387,0.0036997715207368253
tressilian,0.0433636520412503,0.0,0.06692685458984846,0.029210366753285647,0.0934378511876751,0.017400387705158976,0.0234006269076289,0.009569353071574579,0.009036971783932299,0.010636640913737835
elizabeth,0.0076060255016141345,0.06692685458984846,0.0,0.1593063683882142,0.11484310040781212,0.02780026347970752,0.07646679477088948,0.012540157792537188,0.10858712647750307,0.09314297069519545
lambourne,0.01361524134411651,0.029210366753285647,0.1593063683882142,0.0,0.10168593464272178,0.033542254941591146,0.01762521938491737,0.05901906677261965,0.0013618447078936973,0.008495472832454125
janet,0.012240895429298815,0.0934378511876751,0.11484310040781212,0.10168593464272178,0.0,0.09907175376265723,0.0546779367417555,0.12201706013561943,0.07706249130312132,0.03353491942704026
amy,0.004088566899227083,0.017400387705158976,0.02780026347970752,0.033542254941591146,0.09907175376265723,0.0,0.04533477393880268,0.0711053292724845,0.06577869391019306,0.03470765025137783
foster,0.0010919477146394412,0.0234006269076289,0.07646679477088948,0.01762521938491737,0.0546779367417555,0.04533477393880268,0.0,0.16228531298210197,0.0652179586284998,0.011040212170333403
blount,0.015628514314406882,0.009569353071574579,0.012540157792537188,0.05901906677261965,0.12201706013561943,0.0711053292724845,0.16228531298210197,0.0,0.19045635288363605,0.16312543185962353
michael lambourne,0.019259801917159387,0.009036971783932299,0.10858712647750307,0.0013618447078936973,0.07706249130312132,0.06577869391019306,0.0652179586284998,0.19045635288363605,0.0,0.04114415649925498
anthony foster,0.0036997715207368253,0.010636640913737835,0.09314297069519545,0.008495472832454125,0.03353491942704026,0.03470765025137783,0.011040212170333403,0.16312543185962353,0.04114415649925498,0.0
