,scrooge,bob,marley,cratchit,tiny tim,joe,peter,fezziwig,martha,bob cratchit
scrooge,0.0,0.01767570582939534,0.0016868456555558659,0.01711442464045219,0.009795534012790092,0.03282154487657632,0.011209196838894132,0.010933437234841602,0.016749206188695697,0.002920028018912019
bob,0.01767570582939534,0.0,0.5224991923168245,0.0032141493780073254,0.0022006601188137766,0.07803643199696664,0.004810653146554114,0.17807703398985741,0.004715299332441225,0.0021797256031052714
marley,0.0016868456555558659,0.5224991923168245,0.0,0.47461636577108085,0.472166082283456,0.5790304693799802,0.5054209630792751,0.18834054846135606,0.3217206173701694,0.39384545239174107
cratchit,0.01711442464045219,0.0032141493780073254,0.47461636577108085,0.0,0.017908717396134363,0.15014368189658717,0.03307205855409709,0.18086901705360728,0.004711916540641596,0.012261498619203953
tiny tim,0.009795534012790092,0.0022006601188137766,0.472166082283456,0.017908717396134363,0.0,0.1610907954859776,0.04055308468371111,0.19481147014610659,0.007762495285660821,0.004763549446897127
joe,0.03282154487657632,0.07803643199696664,0.5790304693799802,0.15014368189658717,0.1610907954859776,0.0,0.11158905637197937,0.4186388878873864,0.23628749191162232,0.17079041188900426
peter,0.011209196838894132,0.004810653146554114,0.5054209630792751,0.03307205855409709,0.04055308468371111,0.11158905637197937,0.0,0.3176344254325052,0.09214337728050692,0.027603556931253506
fezziwig,0.010933437234841602,0.17807703398985741,0.18834054846135606,0.18086901705360728,0.19481147014610659,0.4186388878873864,0.3176344254325052,0.0,0.1767254444451803,0.3140860789819899
martha,0.016749206188695697,0.004715299332441225,0.3217206173701694,0.004711916540641596,0.007762495285660821,0.23628749191162232,0.09214337728050692,0.1767254444451803,0.0,0.11100681553819375
bob cratchit,0.002920028018912019,0.0021797256031052714,0.39384545239174107,0.012261498619203953,0.004763549446897127,0.17079041188900426,0.027603556931253506,0.3140860789819899,0.11100681553819375,0.0
