,pickwick,sam,weller,winkle,tupman,wardle,snodgrass,bob sawyer,sammy,perker
pickwick,0.0,0.010355940824327411,0.006471848210593358,0.004370557268020804,0.0013875350824104694,0.001246865142276473,0.001279232579820045,0.0020756738638904207,0.005532975244927463,0.0003215822223794306
sam,0.010355940824327411,0.0,0.011721043313053714,0.04270631488790342,0.1088488745021956,0.030271412297002556,0.07141316201787705,0.011193323414397298,0.000797716764214608,0.008245415212000354
weller,0.006471848210593358,0.011721043313053714,0.0,0.07449865178905413,0.13701072597135086,0.05393112022083264,0.10143966477871016,0.02083994510805849,0.00016042929972364314,0.014073482842627931
winkle,0.004370557268020804,0.04270631488790342,0.07449865178905413,0.0,0.024399576440568622,0.025409181967523748,0.003191684734551418,0.023945257703136266,0.032631538342794704,0.030853380126898557
tupman,0.0013875350824104694,0.1088488745021956,0.13701072597135086,0.024399576440568622,0.0,0.16511706244605362,0.024203560915306628,0.4318019250334497,0.3454966232380348,0.3661660175394756
wardle,0.001246865142276473,0.030271412297002556,0.05393112022083264,0.025409181967523748,0.16511706244605362,0.0,0.06103439249201133,0.22061083946983606,0.12462050705979989,0.11446383053311396
snodgrass,0.001279232579820045,0.07141316201787705,0.10143966477871016,0.003191684734551418,0.024203560915306628,0.06103439249201133,0.0,0.4203702989941471,0.31127720287787375,0.33673362480336466
bob sawyer,0.0020756738638904207,0.011193323414397298,0.02083994510805849,0.023945257703136266,0.4318019250334497,0.22061083946983606,0.4203702989941471,0.0,0.07466334140340311,0.05042553300470736
sammy,0.005532975244927463,0.000797716764214608,0.00016042929972364314,0.032631538342794704,0.3454966232380348,0.12462050705979989,0.31127720287787375,0.07466334140340311,0.0,0.06467080685916424
perker,0.0003215822223794306,0.008245415212000354,0.014073482842627931,0.030853380126898557,0.3661660175394756,0.11446383053311396,0.33673362480336466,0.05042553300470736,0.06467080685916424,0.0
