,buteau,jean,françoise,lise,fouan,hyacinthe,delhomme,hourdequin,macqueron,jacqueline
buteau,0.0,0.026377903826281135,0.006907307177320267,0.011569058388423255,0.003149237290753415,0.005068831646192912,0.002354867835919812,0.01061906824951143,0.006423183929805825,0.010178028934852291
jean,0.026377903826281135,0.0,0.008018804309333903,0.009395044627645573,0.020436404881187926,0.030794439353327374,0.009219491778808922,0.008258943529680375,0.013263173746946019,0.0019114613185248768
françoise,0.006907307177320267,0.008018804309333903,0.0,0.032812553485021274,0.02653232232336135,0.035576631644827564,0.017111187832059605,0.011118386442497461,0.012854768342396525,0.008634875821922551
lise,0.011569058388423255,0.009395044627645573,0.032812553485021274,0.0,0.044708546752859,0.04925291454050836,0.019272730544536435,0.014002047558153388,0.015781970422114048,0.010013939627462816
fouan,0.003149237290753415,0.020436404881187926,0.02653232232336135,0.044708546752859,0.0,0.03115165585286912,0.012834718156775594,0.028257543703391633,0.014725986557020728,0.023121237001318132
hyacinthe,0.005068831646192912,0.030794439353327374,0.035576631644827564,0.04925291454050836,0.03115165585286912,0.0,0.03158215481948432,0.029073153535645328,0.01164439944546488,0.03922835758929016
delhomme,0.002354867835919812,0.009219491778808922,0.017111187832059605,0.019272730544536435,0.012834718156775594,0.03158215481948432,0.0,0.039670895685490246,0.01956852788552191,0.03335328806607993
hourdequin,0.01061906824951143,0.008258943529680375,0.011118386442497461,0.014002047558153388,0.028257543703391633,0.029073153535645328,0.039670895685490246,0.0,0.024121908792475142,0.03581034680434922
macqueron,0.006423183929805825,0.013263173746946019,0.012854768342396525,0.015781970422114048,0.014725986557020728,0.01164439944546488,0.01956852788552191,0.024121908792475142,0.0,0.08666714266649272
jacqueline,0.010178028934852291,0.0019114613185248768,0.008634875821922551,0.010013939627462816,0.023121237001318132,0.03922835758929016,0.03335328806607993,0.03581034680434922,0.08666714266649272,0.0
