,joe,herbert,estella,jaggers,biddy,wemmick,pip,havisham,pumblechook,wopsle
joe,0.0,0.13029156161124003,0.07380808153597913,0.06070254729179367,0.009810918846841436,0.07412427230200781,0.030769901461562176,0.025162177330232443,0.0034814111146727433,0.007350615037529124
herbert,0.13029156161124003,0.0,0.09762702479828486,0.049646752267796586,0.16976068856649523,0.020993743945656767,0.06533879664458,0.12298869970197487,0.22218139767970824,0.2005248374075186
estella,0.07380808153597913,0.09762702479828486,0.0,0.06990575512038834,0.1004776355343279,0.05971443397622705,0.02386142688863422,0.020312069035332645,0.09017331397936588,0.0553825343522374
jaggers,0.06070254729179367,0.049646752267796586,0.06990575512038834,0.0,0.1365918493728001,0.025001212211917555,0.04036857496172068,0.07468444877858137,0.15764691888113794,0.12036855358147734
biddy,0.009810918846841436,0.16976068856649523,0.1004776355343279,0.1365918493728001,0.0,0.17253904857883545,0.07901093067199187,0.07472496731945609,0.05202070456258674,0.06633208694800306
wemmick,0.07412427230200781,0.020993743945656767,0.05971443397622705,0.025001212211917555,0.17253904857883545,0.0,0.05834212792218483,0.11342340797970563,0.206509384308534,0.17721844915780258
pip,0.030769901461562176,0.06533879664458,0.02386142688863422,0.04036857496172068,0.07901093067199187,0.05834212792218483,0.0,0.05735391261689348,0.09565985713728435,0.06682787309540986
havisham,0.025162177330232443,0.12298869970197487,0.020312069035332645,0.07468444877858137,0.07472496731945609,0.11342340797970563,0.05735391261689348,0.0,0.057207004702852,0.038092495235572364
pumblechook,0.0034814111146727433,0.22218139767970824,0.09017331397936588,0.15764691888113794,0.05202070456258674,0.206509384308534,0.09565985713728435,0.057207004702852,0.0,0.04569618394263174
wopsle,0.007350615037529124,0.2005248374075186,0.0553825343522374,0.12036855358147734,0.06633208694800306,0.17721844915780258,0.06682787309540986,0.038092495235572364,0.04569618394263174,0.0
