,aglaya,lebedeff,rogojin,hippolyte,nastasia philipovna,epanchin,colia,lizabetha prokofievna,evgenie pavlovitch,nastasia
aglaya,0.0,0.10950865650866934,0.08039617453058817,0.02668761742448595,0.0575019919447447,0.01666491767503548,0.01814932532197316,0.014329728896279051,0.013869502984525696,0.027198156762380667
lebedeff,0.10950865650866934,0.0,0.06484378574035038,0.013447830999598015,0.07427252461508761,0.04482973637861504,0.014347913101169951,0.02173846194384729,0.02761857591246424,0.040596246622181996
rogojin,0.08039617453058817,0.06484378574035038,0.0,0.09464490176493111,0.03416836429833176,0.04695087677783723,0.0399997430636295,0.10027092645018885,0.07877054080894066,0.012161639441984541
hippolyte,0.02668761742448595,0.013447830999598015,0.09464490176493111,0.0,0.2232412497651449,0.21513351557111426,0.06293785137596693,0.03543484169697329,0.02613603247530306,0.1316251308450956
nastasia philipovna,0.0575019919447447,0.07427252461508761,0.03416836429833176,0.2232412497651449,0.0,0.07180334776050425,0.10879694972014542,0.1675503435778641,0.16674871596196283,0.013149657117879084
epanchin,0.01666491767503548,0.04482973637861504,0.04695087677783723,0.21513351557111426,0.07180334776050425,0.0,0.11956668434651067,0.16903453694655265,0.19166273185393906,0.09576219470059777
colia,0.01814932532197316,0.014347913101169951,0.0399997430636295,0.06293785137596693,0.10879694972014542,0.11956668434651067,0.0,0.07760333977452429,0.12090389965070722,0.08770037578731857
lizabetha prokofievna,0.014329728896279051,0.02173846194384729,0.10027092645018885,0.03543484169697329,0.1675503435778641,0.16903453694655265,0.07760333977452429,0.0,0.04875941668773521,0.1518066189507077
evgenie pavlovitch,0.013869502984525696,0.02761857591246424,0.07877054080894066,0.02613603247530306,0.16674871596196283,0.19166273185393906,0.12090389965070722,0.04875941668773521,0.0,0.16464037439565193
nastasia,0.027198156762380667,0.040596246622181996,0.012161639441984541,0.1316251308450956,0.013149657117879084,0.09576219470059777,0.08770037578731857,0.1518066189507077,0.16464037439565193,0.0
