,tom,huck,joe,becky,sid,mary,polly,tom sawyer,potter,thatcher
tom,0.0,0.004945175821562093,0.0014159111412826756,0.00045100743086198445,0.00041004062106822693,0.0007159775975587234,0.00040391385246954113,0.0011115445266148283,0.004068883856781263,0.0021981640197636064
huck,0.004945175821562093,0.0,0.05080958554589986,0.039049234981960515,0.1211207952093262,0.07442345870370592,0.03861526995256729,0.012732909076684474,0.022327327040917024,0.009924402893555003
joe,0.0014159111412826756,0.05080958554589986,0.0,0.1270914336637585,0.0856370775302683,0.061651792410828965,0.03848765323615401,0.02582604735417625,0.01137163230593549,0.02832991823109354
becky,0.00045100743086198445,0.039049234981960515,0.1270914336637585,0.0,0.3171452028390693,0.13512420197234196,0.05984438673120447,0.021519880998949508,0.07219626635158473,0.006551536844368301
sid,0.00041004062106822693,0.1211207952093262,0.0856370775302683,0.3171452028390693,0.0,0.008117956723750146,0.010025010177289176,0.025975260236316924,0.05477142078838692,0.15704959240981956
mary,0.0007159775975587234,0.07442345870370592,0.061651792410828965,0.13512420197234196,0.008117956723750146,0.0,0.05395893673396611,0.11573241218376176,0.14451533285890727,0.3216039628923318
polly,0.00040391385246954113,0.03861526995256729,0.03848765323615401,0.05984438673120447,0.010025010177289176,0.05395893673396611,0.0,0.06645092775333616,0.15793526284458745,0.23998244204992883
tom sawyer,0.0011115445266148283,0.012732909076684474,0.02582604735417625,0.021519880998949508,0.025975260236316924,0.11573241218376176,0.06645092775333616,0.0,0.17764572494090405,0.1753021009494013
potter,0.004068883856781263,0.022327327040917024,0.01137163230593549,0.07219626635158473,0.05477142078838692,0.14451533285890727,0.15793526284458745,0.17764572494090405,0.0,0.3866111742253285
thatcher,0.0021981640197636064,0.009924402893555003,0.02832991823109354,0.006551536844368301,0.15704959240981956,0.3216039628923318,0.23998244204992883,0.1753021009494013,0.3866111742253285,0.0
