,pickwick,sam,weller,winkle,tupman,wardle,snodgrass,bob sawyer,sammy,perker
pickwick,0.0,0.009825304771577212,0.006151290120454125,0.004546990203475744,0.0016226815428354768,0.0012366185978383638,0.0014952479192667644,0.0019642329120356456,0.00525878367411546,0.00030552926498853846
sam,0.009825304771577212,0.0,0.011264577166029398,0.044997136014361325,0.11636638311079753,0.0312952125752798,0.0777882152137061,0.01048707912102759,0.0007760442699631958,0.007762544737344102
weller,0.006151290120454125,0.011264577166029398,0.0,0.07669032141333565,0.14526957401106885,0.055589316659054935,0.10896898066231007,0.019517875615495756,0.00015431579185049246,0.013403425570408477
winkle,0.004546990203475744,0.044997136014361325,0.07669032141333565,0.0,0.026368990109478865,0.025879115667200647,0.0033547647759513935,0.02244926472575872,0.031167671059829313,0.029083529282108694
tupman,0.0016226815428354768,0.11636638311079753,0.14526957401106885,0.026368990109478865,0.0,0.1671539196031324,0.024892247676712432,0.42561910716009604,0.34108165797582735,0.35914341584307286
wardle,0.0012366185978383638,0.0312952125752798,0.055589316659054935,0.025879115667200647,0.1671539196031324,0.0,0.06629339340234221,0.2148614578332122,0.1213736885034524,0.11087156752588455
snodgrass,0.0014952479192667644,0.0777882152137061,0.10896898066231007,0.0033547647759513935,0.024892247676712432,0.06629339340234221,0.0,0.41983576416020474,0.31263762959026126,0.3358450179767287
bob sawyer,0.0019642329120356456,0.01048707912102759,0.019517875615495756,0.02244926472575872,0.42561910716009604,0.2148614578332122,0.41983576416020474,0.0,0.07112469173079909,0.048317183718360725
sammy,0.00525878367411546,0.0007760442699631958,0.00015431579185049246,0.031167671059829313,0.34108165797582735,0.1213736885034524,0.31263762959026126,0.07112469173079909,0.0,0.06203549259083471
perker,0.00030552926498853846,0.007762544737344102,0.013403425570408477,0.029083529282108694,0.35914341584307286,0.11087156752588455,0.3358450179767287,0.048317183718360725,0.06203549259083471,0.0
