,jim,tom,huck,sally,mary jane,tom sawyer,watson,dey,sid,huck finn
jim,0.0,0.01643878011582592,0.0007486150487445599,0.00498708771745141,0.0618686926261922,0.005190356661804752,0.004567237506255449,0.001124753989093149,0.00578727628236107,0.0022725405854244663
tom,0.01643878011582592,0.0,0.07683368445947389,0.0017108783326558444,0.17038643572205092,0.015200463078795115,0.01839618247249966,0.04491829831084269,0.0037394908820246285,0.009087493043290415
huck,0.0007486150487445599,0.07683368445947389,0.0,0.3354779982608476,0.22157870711067978,0.08909762843666137,0.08791166502102687,0.009488549801596594,0.08807565912917477,0.014616766828092783
sally,0.00498708771745141,0.0017108783326558444,0.3354779982608476,0.0,0.2651964371899712,0.34349210518200124,0.5244652043704743,0.351536601555979,0.014464705025384916,0.16791004538879842
mary jane,0.0618686926261922,0.17038643572205092,0.22157870711067978,0.2651964371899712,0.0,0.3011984769447434,0.397192972668131,0.29609736056342156,0.27635056817307324,0.26273647280910273
tom sawyer,0.005190356661804752,0.015200463078795115,0.08909762843666137,0.34349210518200124,0.3011984769447434,0.0,0.010041440625542589,0.08781319570127478,0.06270082241605107,0.007702001396511544
watson,0.004567237506255449,0.01839618247249966,0.08791166502102687,0.5244652043704743,0.397192972668131,0.010041440625542589,0.0,0.14850059306516325,0.5199736848796034,0.1504779533193214
dey,0.001124753989093149,0.04491829831084269,0.009488549801596594,0.351536601555979,0.29609736056342156,0.08781319570127478,0.14850059306516325,0.0,0.39529158683889204,0.09603578505603377
sid,0.00578727628236107,0.0037394908820246285,0.08807565912917477,0.014464705025384916,0.27635056817307324,0.06270082241605107,0.5199736848796034,0.39529158683889204,0.0,0.24429539333479863
huck finn,0.0022725405854244663,0.009087493043290415,0.014616766828092783,0.16791004538879842,0.26273647280910273,0.007702001396511544,0.1504779533193214,0.09603578505603377,0.24429539333479863,0.0
