,buteau,jean,françoise,lise,fouan,hyacinthe,delhomme,hourdequin,macqueron,jacqueline
buteau,0.0,0.026618183740945003,0.006887123908925022,0.011388272237004936,0.003381773786733479,0.005188136158021578,0.002466889678021585,0.0105762424621928,0.006795813762523182,0.010207247473771318
jean,0.026618183740945003,0.0,0.00865998408265937,0.009853490646227758,0.021223037000987027,0.030301928749165027,0.008569184314934065,0.008409114987171057,0.014042473525773484,0.0019068582196552087
françoise,0.006887123908925022,0.00865998408265937,0.0,0.03416411041478714,0.02785031600141093,0.03490901734652265,0.016776623168517416,0.011037127505917932,0.013444658251001116,0.008882682858557173
lise,0.011388272237004936,0.009853490646227758,0.03416411041478714,0.0,0.04678196996397049,0.04865943902053923,0.018365227757044696,0.014329921381552344,0.01681145056608585,0.010247176495413873
fouan,0.003381773786733479,0.021223037000987027,0.02785031600141093,0.04678196996397049,0.0,0.03134889611312597,0.013556918479626985,0.028597726796907894,0.015322995422957411,0.023521259165267795
hyacinthe,0.005188136158021578,0.030301928749165027,0.03490901734652265,0.04865943902053923,0.03134889611312597,0.0,0.03418784836734061,0.029507830833683933,0.012506886008910523,0.04136112190705947
delhomme,0.002466889678021585,0.008569184314934065,0.016776623168517416,0.018365227757044696,0.013556918479626985,0.03418784836734061,0.0,0.04132061866522581,0.020952981918718562,0.03493289433404412
hourdequin,0.0105762424621928,0.008409114987171057,0.011037127505917932,0.014329921381552344,0.028597726796907894,0.029507830833683933,0.04132061866522581,0.0,0.025299716664992138,0.038250246360505495
macqueron,0.006795813762523182,0.014042473525773484,0.013444658251001116,0.01681145056608585,0.015322995422957411,0.012506886008910523,0.020952981918718562,0.025299716664992138,0.0,0.09057664974553967
jacqueline,0.010207247473771318,0.0019068582196552087,0.008882682858557173,0.010247176495413873,0.023521259165267795,0.04136112190705947,0.03493289433404412,0.038250246360505495,0.09057664974553967,0.0
