,pecksniff,tom,martin,jonas,mark,mrs gamp,john,chuzzlewit,tapley,bailey
pecksniff,0.0,0.15384694746083888,0.04801371848199677,0.011426580192449014,0.015488877539055517,0.028079849736735708,0.010751284145295513,0.0034640799049472358,0.007933531411453608,0.014611552242114167
tom,0.15384694746083888,0.0,0.09597936348822411,0.05268890110023845,0.030477340909398846,0.03354603535662104,0.0007228382567407932,0.01107070148174961,0.015145729621578872,0.025562088558201652
martin,0.04801371848199677,0.09597936348822411,0.0,0.033487585817066214,0.002322008766388403,0.029428154227099337,0.01264047667159501,0.005465267444914764,0.0005463153325018205,0.024319431822002628
jonas,0.011426580192449014,0.05268890110023845,0.033487585817066214,0.0,0.04613227878836556,0.02045769958441569,0.02537616208076158,0.016654386260630358,0.025602861258971196,0.00913540586294056
mark,0.015488877539055517,0.030477340909398846,0.002322008766388403,0.04613227878836556,0.0,0.07999915263009595,0.04421149709419253,0.03582150314094229,0.004179539941144793,0.047289735227965306
mrs gamp,0.028079849736735708,0.03354603535662104,0.029428154227099337,0.02045769958441569,0.07999915263009595,0.0,0.06827277269949274,0.05149724410917157,0.045121933060023205,0.02533410609097389
john,0.010751284145295513,0.0007228382567407932,0.01264047667159501,0.02537616208076158,0.04421149709419253,0.06827277269949274,0.0,0.052352727254431033,0.03833771126981679,0.10076632248381144
chuzzlewit,0.0034640799049472358,0.01107070148174961,0.005465267444914764,0.016654386260630358,0.03582150314094229,0.05149724410917157,0.052352727254431033,0.0,0.043450458146662395,0.08028200581784813
tapley,0.007933531411453608,0.015145729621578872,0.0005463153325018205,0.025602861258971196,0.004179539941144793,0.045121933060023205,0.03833771126981679,0.043450458146662395,0.0,0.12706604321986703
bailey,0.014611552242114167,0.025562088558201652,0.024319431822002628,0.00913540586294056,0.047289735227965306,0.02533410609097389,0.10076632248381144,0.08028200581784813,0.12706604321986703,0.0
