,rougon,clorinde,m. kahn,du poizat,delestang,gilquin,madame correur,m. la rouquette,m. béjuin,merle
rougon,0.0,0.0018054192388983676,0.002444456677694874,0.0011248134960260084,0.0005499748875001286,0.006224254122075495,0.0012996600711891225,0.0021938117430720964,0.0006622036465951543,0.0002862719758254385
clorinde,0.0018054192388983676,0.0,0.031129017178446284,0.027160936729379456,0.008815545350380611,0.03870177874973832,0.010337235191144399,0.007478124583953543,0.00911293788469596,0.016163421577415342
m. kahn,0.002444456677694874,0.031129017178446284,0.0,0.05585568330761143,0.05474645380569761,0.056711697552157984,0.012490903306018215,0.0239639086558895,0.0008471024530719006,0.013084566982357836
du poizat,0.0011248134960260084,0.027160936729379456,0.05585568330761143,0.0,0.05839863046087723,0.06379591657306308,0.027680263818487726,0.06983241462130144,0.029199789096791835,0.017103367103505396
delestang,0.0005499748875001286,0.008815545350380611,0.05474645380569761,0.05839863046087723,0.0,0.08630198176793442,0.033681868956147026,0.028531972005795644,0.025255135197918405,0.035510559471179294
gilquin,0.006224254122075495,0.03870177874973832,0.056711697552157984,0.06379591657306308,0.08630198176793442,0.0,0.03096670399812361,0.1168989293348771,0.08257536505276042,0.053393275260445766
madame correur,0.0012996600711891225,0.010337235191144399,0.012490903306018215,0.027680263818487726,0.033681868956147026,0.03096670399812361,0.0,0.087532561404092,0.04032785835600398,0.044340070347258245
m. la rouquette,0.0021938117430720964,0.007478124583953543,0.0239639086558895,0.06983241462130144,0.028531972005795644,0.1168989293348771,0.087532561404092,0.0,0.05746240980744621,0.08645245163067163
m. béjuin,0.0006622036465951543,0.00911293788469596,0.0008471024530719006,0.029199789096791835,0.025255135197918405,0.08257536505276042,0.04032785835600398,0.05746240980744621,0.0,0.05876362235255989
merle,0.0002862719758254385,0.016163421577415342,0.013084566982357836,0.017103367103505396,0.035510559471179294,0.053393275260445766,0.044340070347258245,0.08645245163067163,0.05876362235255989,0.0
