,clotilde,pascal,martine,felicite,ramond,maxime,charles,rougon,macquart,uncle macquart
clotilde,0.0,0.01769556347990622,0.002215551741631822,0.0027993601969405063,0.0042155462119542455,0.004498133374254127,0.005829500355831348,0.0005147554762648767,0.005653680901582356,0.010271576598788162
pascal,0.01769556347990622,0.0,0.005197349135851639,0.004564961922326268,0.0021988226123467527,0.0030804853571857523,0.004689365842990204,0.0008235231160987912,0.004023576836295677,0.004825305321642144
martine,0.002215551741631822,0.005197349135851639,0.0,0.010596528976640074,0.020853278277817744,0.021723957336722107,0.029170811471339365,0.0029287939491476583,0.02305767798952031,0.02906592875063591
felicite,0.0027993601969405063,0.004564961922326268,0.010596528976640074,0.0,0.1840249290582885,0.019467691034577572,0.01470678784537127,0.0022523069211105888,0.005175841211152112,0.03434508844871697
ramond,0.0042155462119542455,0.0021988226123467527,0.020853278277817744,0.1840249290582885,0.0,0.14510433945189558,0.18098554860707053,0.051220964052692,0.11575589330290018,0.08673929124586566
maxime,0.004498133374254127,0.0030804853571857523,0.021723957336722107,0.019467691034577572,0.14510433945189558,0.0,0.03926991564862063,0.04113549411502588,0.03428421399030881,0.12137173229370164
charles,0.005829500355831348,0.004689365842990204,0.029170811471339365,0.01470678784537127,0.18098554860707053,0.03926991564862063,0.0,0.053293271886050014,0.0018372818158012374,0.010837325805953818
rougon,0.0005147554762648767,0.0008235231160987912,0.0029287939491476583,0.0022523069211105888,0.051220964052692,0.04113549411502588,0.053293271886050014,0.0,0.08940794310416098,0.11195905780543869
macquart,0.005653680901582356,0.004023576836295677,0.02305767798952031,0.005175841211152112,0.11575589330290018,0.03428421399030881,0.0018372818158012374,0.08940794310416098,0.0,0.12992693432266283
uncle macquart,0.010271576598788162,0.004825305321642144,0.02906592875063591,0.03434508844871697,0.08673929124586566,0.12137173229370164,0.010837325805953818,0.11195905780543869,0.12992693432266283,0.0
