,boffin,bella,eugene,venus,fledgeby,mrs boffin,wegg,twemlow,lizzie,john
boffin,0.0,0.044360284622757575,0.03966086305724738,0.009584809013620636,0.04639883852236588,0.005504410053725431,0.003288675206038677,0.02751854922132663,0.033119297328243216,0.02841717345985218
bella,0.044360284622757575,0.0,0.04775879575729969,0.01968257662422243,0.04356047666573292,0.05275865003905393,0.03839780956838828,0.02990880028771371,0.01460854573297813,0.0011533561935099352
eugene,0.03966086305724738,0.04775879575729969,0.0,0.11577438079799843,0.08673330494239367,0.061746324619566105,0.05695359912634987,0.04179443295324811,0.020916781829158022,0.10018718983187129
venus,0.009584809013620636,0.01968257662422243,0.11577438079799843,0.0,0.06100992786643977,0.12293344229232832,0.055397492987251926,0.057337600589524834,0.050178911730126737,0.10585905021459188
fledgeby,0.04639883852236588,0.04356047666573292,0.08673330494239367,0.06100992786643977,0.0,0.14351009068490228,0.11384882871713678,0.05445370376107123,0.05141452663438863,0.12021273328880717
mrs boffin,0.005504410053725431,0.05275865003905393,0.061746324619566105,0.12293344229232832,0.14351009068490228,0.0,0.034999270799372845,0.06093303697332053,0.04165141337539982,0.17654149382346834
wegg,0.003288675206038677,0.03839780956838828,0.05695359912634987,0.055397492987251926,0.11384882871713678,0.034999270799372845,0.0,0.06181928502189498,0.05487883016253664,0.18738008267622172
twemlow,0.02751854922132663,0.02990880028771371,0.04179443295324811,0.057337600589524834,0.05445370376107123,0.06093303697332053,0.06181928502189498,0.0,0.0729301282488349,0.2647354480390383
lizzie,0.033119297328243216,0.01460854573297813,0.020916781829158022,0.050178911730126737,0.05141452663438863,0.04165141337539982,0.05487883016253664,0.0729301282488349,0.0,0.21605635310251234
john,0.02841717345985218,0.0011533561935099352,0.10018718983187129,0.10585905021459188,0.12021273328880717,0.17654149382346834,0.18738008267622172,0.2647354480390383,0.21605635310251234,0.0
