,quentin,louis,crevecoeur,durward,crawford,oliver,charles,isabelle,hayraddin,quentin durward
quentin,0.0,0.0711068055093899,0.04944359517956138,0.0037920327719688776,0.012314773168602028,0.02166616938528646,0.026781245980213315,0.0037680439963530305,0.0014567464271789791,0.0023054059471841405
louis,0.0711068055093899,0.0,0.0083838115384574,0.03817218737821891,0.013604561348628724,0.0076196198445523606,0.0011126492935847735,0.011943600755565532,0.061010408010983154,0.0065214639103531105
crevecoeur,0.04944359517956138,0.0083838115384574,0.0,0.2512728318160783,0.04767972301815365,0.09613096495404322,0.014354481564423111,0.03096794820013092,0.12023853479512937,0.06155622658290455
durward,0.0037920327719688776,0.03817218737821891,0.2512728318160783,0.0,0.08452732446685939,0.07609872818565516,0.15824716276380638,0.0389454611672079,0.03205692692121914,0.0044855959565439805
crawford,0.012314773168602028,0.013604561348628724,0.04767972301815365,0.08452732446685939,0.0,0.1444950531273139,0.08137157106840466,0.07706579662008368,0.15085771236511406,0.0450844665443782
oliver,0.02166616938528646,0.0076196198445523606,0.09613096495404322,0.07609872818565516,0.1444950531273139,0.0,0.23864726137857206,0.12088628637659969,0.11690439482875295,0.07540133636465862
charles,0.026781245980213315,0.0011126492935847735,0.014354481564423111,0.15824716276380638,0.08137157106840466,0.23864726137857206,0.0,0.07137961941691612,0.16804289855724733,0.12567768196027285
isabelle,0.0037680439963530305,0.011943600755565532,0.03096794820013092,0.0389454611672079,0.07706579662008368,0.12088628637659969,0.07137961941691612,0.0,0.11101278009068934,0.11796598917284541
hayraddin,0.0014567464271789791,0.061010408010983154,0.12023853479512937,0.03205692692121914,0.15085771236511406,0.11690439482875295,0.16804289855724733,0.11101278009068934,0.0,0.12073176104422885
quentin durward,0.0023054059471841405,0.0065214639103531105,0.06155622658290455,0.0044855959565439805,0.0450844665443782,0.07540133636465862,0.12567768196027285,0.11796598917284541,0.12073176104422885,0.0
