,harris,mont blanc,neckar,conrad,baedeker,peter,riley,nicodemus,huss,gretchen
harris,0.0,0.09787145344659424,0.008610696108172652,0.036316044181508134,0.0058793030908017236,0.011886932906580655,0.02995991419147966,0.010697143730581718,0.031591334564602856,0.03773804035667794
mont blanc,0.09787145344659424,0.0,0.5688339916547881,0.45933249931439557,0.08317106189109619,0.12678005611297097,0.309813853041574,0.3717670005511287,0.3999257290708086,0.2962149483300359
neckar,0.008610696108172652,0.5688339916547881,0.0,0.09151355360591606,0.45292339351174765,0.3874998125106124,0.22453563985527128,0.14430320133190117,0.11531817321896538,0.26480499289366255
conrad,0.036316044181508134,0.45933249931439557,0.09151355360591606,0.0,0.337443760238754,0.26927465748021423,0.14214497405066567,0.0765466193749747,0.04852522358659613,0.16182842347739093
baedeker,0.0058793030908017236,0.08317106189109619,0.45292339351174765,0.337443760238754,0.0,0.07540046122484273,0.19444702645130357,0.22674360294151671,0.23846781222402846,0.18250726204051995
peter,0.011886932906580655,0.12678005611297097,0.3874998125106124,0.26927465748021423,0.07540046122484273,0.0,0.16266630306311589,0.13024633017261802,0.1754921666691447,0.1345465742839516
riley,0.02995991419147966,0.309813853041574,0.22453563985527128,0.14214497405066567,0.19444702645130357,0.16266630306311589,0.0,0.06447593632579021,0.09249882232527525,0.1862252510945683
nicodemus,0.010697143730581718,0.3717670005511287,0.14430320133190117,0.0765466193749747,0.22674360294151671,0.13024633017261802,0.06447593632579021,0.0,0.028017854147658016,0.12280151727047547
huss,0.031591334564602856,0.3999257290708086,0.11531817321896538,0.04852522358659613,0.23846781222402846,0.1754921666691447,0.09249882232527525,0.028017854147658016,0.0,0.06286111282989117
gretchen,0.03773804035667794,0.2962149483300359,0.26480499289366255,0.16182842347739093,0.18250726204051995,0.1345465742839516,0.1862252510945683,0.12280151727047547,0.06286111282989117,0.0
