,nicholas,squeers,nickleby,ralph,kate,newman,kenwigs,smike,crummles,la creevy
nicholas,0.0,0.03071722862489091,0.008714666120588528,0.01398991612615849,0.007846480381676124,0.0039636638380397965,0.008586191209558301,0.0007265517052217252,0.0005906645963679799,0.002735574871342357
squeers,0.03071722862489091,0.0,0.07640154636770602,0.14528725013318747,0.06269514036837535,0.040752397715619296,0.039709285624281596,0.03044681415887012,0.13412023124275355,0.027833320510715985
nickleby,0.008714666120588528,0.07640154636770602,0.0,0.09450921202096595,0.008158941139567857,0.019276501493441414,0.03719923891215334,0.008657359853439312,0.028304321404491663,0.003793973811521875
ralph,0.01398991612615849,0.14528725013318747,0.09450921202096595,0.0,0.053797506799360524,0.01923352548224043,0.04628861580667891,0.017315807794613624,0.043012964191706936,0.007844987274763652
kate,0.007846480381676124,0.06269514036837535,0.008158941139567857,0.053797506799360524,0.0,0.024827835692217304,0.04799721345086137,0.01758068161927582,0.036986405410857716,0.010935138829449189
newman,0.0039636638380397965,0.040752397715619296,0.019276501493441414,0.01923352548224043,0.024827835692217304,0.0,0.05214964234054471,0.025910658017772013,0.10118591168626007,0.03710819510311724
kenwigs,0.008586191209558301,0.039709285624281596,0.03719923891215334,0.04628861580667891,0.04799721345086137,0.05214964234054471,0.0,0.07836832145953698,0.11983256116264901,0.08025099951542675
smike,0.0007265517052217252,0.03044681415887012,0.008657359853439312,0.017315807794613624,0.01758068161927582,0.025910658017772013,0.07836832145953698,0.0,0.09021164565134843,0.0797366608114461
crummles,0.0005906645963679799,0.13412023124275355,0.028304321404491663,0.043012964191706936,0.036986405410857716,0.10118591168626007,0.11983256116264901,0.09021164565134843,0.0,0.1454121404422448
la creevy,0.002735574871342357,0.027833320510715985,0.003793973811521875,0.007844987274763652,0.010935138829449189,0.03710819510311724,0.08025099951542675,0.0797366608114461,0.1454121404422448,0.0
