,james,signor dellombra,john,baptista,wilhelm,clara,heinrich,carolina,dellombra,ananias dodger
james,0.0,0.212184772454367,0.003841339071279272,0.30451707957868723,0.008488122064172338,0.17993331046964178,0.6886380064127499,0.2420057947493402,0.18775410924573782,0.25815159188590114
signor dellombra,0.212184772454367,0.0,0.20843267239338292,0.13060217308508776,0.21050192852450741,0.036519034014388725,0.4361488712504319,0.11262830357677421,0.009298247785770238,0.3581035099772298
john,0.003841339071279272,0.20843267239338292,0.0,0.3721742771734058,0.01764621630783268,0.19901692743886532,0.7062370156469735,0.2525767466638753,0.1974345350590769,0.32476400571191205
baptista,0.30451707957868723,0.13060217308508776,0.3721742771734058,0.0,0.24852224384810256,0.02373875272380914,0.17269531707427432,0.035761704320717555,0.029004540403200458,0.19502935331418852
wilhelm,0.008488122064172338,0.21050192852450741,0.01764621630783268,0.24852224384810256,0.0,0.2732504647663231,0.7776810184712442,0.3086391840885638,0.24836454126329088,0.3285415110032708
clara,0.17993331046964178,0.036519034014388725,0.19901692743886532,0.02373875272380914,0.2732504647663231,0.0,0.4968960345983022,0.07564784278094214,0.017654764296856446,0.38056459832615663
heinrich,0.6886380064127499,0.4361488712504319,0.7062370156469735,0.17269531707427432,0.7776810184712442,0.4968960345983022,0.0,0.38756641923752266,0.4909482757463395,0.332169703199273
carolina,0.2420057947493402,0.11262830357677421,0.2525767466638753,0.035761704320717555,0.3086391840885638,0.07564784278094214,0.38756641923752266,0.0,0.10733942993946977,0.2918409622466039
dellombra,0.18775410924573782,0.009298247785770238,0.1974345350590769,0.029004540403200458,0.24836454126329088,0.017654764296856446,0.4909482757463395,0.10733942993946977,0.0,0.4138806760298543
ananias dodger,0.25815159188590114,0.3581035099772298,0.32476400571191205,0.19502935331418852,0.3285415110032708,0.38056459832615663,0.332169703199273,0.2918409622466039,0.4138806760298543,0.0
