,alyosha,mitya,ivan,smerdyakov,fyodor pavlovitch,grushenka,katerina ivanovna,dmitri,rakitin,dmitri fyodorovitch
alyosha,0.0,0.09825662102993953,0.014633534441638826,0.016149399443755638,0.010987946858212817,0.018873363344306223,0.0013622845122314507,0.0008449028634672717,0.0013417789074265565,0.022996216596135297
mitya,0.09825662102993953,0.0,0.12759984621590173,0.029329705566255526,0.11078723035299773,0.006063424193515055,0.03840038267473052,0.09491273847729356,0.011698862081493218,0.006923543835864766
ivan,0.014633534441638826,0.12759984621590173,0.0,0.015188879074982755,0.03618791680342851,0.08007867630764395,0.008777572493985803,0.002732040055765986,0.043777153256119514,0.059187534634893305
smerdyakov,0.016149399443755638,0.029329705566255526,0.015188879074982755,0.0,0.28659319115014376,0.1172761563573845,0.05968336329270651,0.19181262548573538,0.07320160567736786,0.06336070183627761
fyodor pavlovitch,0.010987946858212817,0.11078723035299773,0.03618791680342851,0.28659319115014376,0.0,0.18987711337830818,0.054313604701781634,0.03136180216253268,0.07519843380979623,0.0621152420829332
grushenka,0.018873363344306223,0.006063424193515055,0.08007867630764395,0.1172761563573845,0.18987711337830818,0.0,0.07430100605676414,0.15794587148799843,0.023266491532840588,0.024041432307791405
katerina ivanovna,0.0013622845122314507,0.03840038267473052,0.008777572493985803,0.05968336329270651,0.054313604701781634,0.07430100605676414,0.0,0.1258150604902614,0.10537490058140173,0.12035959101722613
dmitri,0.0008449028634672717,0.09491273847729356,0.002732040055765986,0.19181262548573538,0.03136180216253268,0.15794587148799843,0.1258150604902614,0.0,0.18635002273002965,0.16401670225967882
rakitin,0.0013417789074265565,0.011698862081493218,0.043777153256119514,0.07320160567736786,0.07519843380979623,0.023266491532840588,0.10537490058140173,0.18635002273002965,0.0,0.06945675755312504
dmitri fyodorovitch,0.022996216596135297,0.006923543835864766,0.059187534634893305,0.06336070183627761,0.0621152420829332,0.024041432307791405,0.12035959101722613,0.16401670225967882,0.06945675755312504,0.0
