,jasper,grewgious,crisparkle,rosa,neville,sapsea,durdles,helena,edwin,twinkleton
jasper,0.0,0.22630516490890276,0.12658376010921166,0.13086704796989104,0.031081784210617504,0.019464762630314346,0.00748780691387767,0.05008344693295248,0.017034419028398542,0.042761070927780795
grewgious,0.22630516490890276,0.0,0.06995773264203309,0.05682525651744952,0.04236973498067687,0.08069079752097395,0.09134591999231753,0.022752455507112364,0.027368944043704293,0.04518010092143182
crisparkle,0.12658376010921166,0.06995773264203309,0.0,0.07033882238769523,0.009586880866935802,0.05194943046095068,0.06205475778214064,0.005848779749796404,0.030398141023993876,0.02596955343711556
rosa,0.13086704796989104,0.05682525651744952,0.07033882238769523,0.0,0.10990768793735917,0.04842977034195239,0.044950657555198274,0.012821646448235509,0.03409074174862442,0.005922651774172888
neville,0.031081784210617504,0.04236973498067687,0.009586880866935802,0.10990768793735917,0.0,0.06626038795615165,0.07794394829765364,0.026894293008329264,0.044688024151538976,0.07287148768585328
sapsea,0.019464762630314346,0.08069079752097395,0.05194943046095068,0.04842977034195239,0.06626038795615165,0.0,0.023096203676755786,0.09411082209721043,0.07511526987122805,0.0842302908288055
durdles,0.00748780691387767,0.09134591999231753,0.06205475778214064,0.044950657555198274,0.07794394829765364,0.023096203676755786,0.0,0.15282347609987293,0.06814820043483484,0.13839075562606926
helena,0.05008344693295248,0.022752455507112364,0.005848779749796404,0.012821646448235509,0.026894293008329264,0.09411082209721043,0.15282347609987293,0.0,0.17788267999862753,0.053033766123546495
edwin,0.017034419028398542,0.027368944043704293,0.030398141023993876,0.03409074174862442,0.044688024151538976,0.07511526987122805,0.06814820043483484,0.17788267999862753,0.0,0.14438577737592154
twinkleton,0.042761070927780795,0.04518010092143182,0.02596955343711556,0.005922651774172888,0.07287148768585328,0.0842302908288055,0.13839075562606926,0.053033766123546495,0.14438577737592154,0.0
