,hartley,gray,middlemas,richard,witherington,moncada,menie,richard middlemas,menie gray,lawford
hartley,0.0,0.226339833460999,0.009391705033468903,0.02739769183826898,0.0012178667061864563,0.039931575995698736,0.03230763735373267,0.014380975071102415,0.007485781468793394,0.09365427750391608
gray,0.226339833460999,0.0,0.16875994842468017,0.02399528371631546,0.12330744442863396,0.008468882248142906,0.0073776210188100134,0.010033963276188178,0.023230004102956076,0.0012628204079682176
middlemas,0.009391705033468903,0.16875994842468017,0.0,0.052124409803113364,0.0533811136323201,0.03427928286380764,0.02201851833181082,0.011942949183504418,0.01035908991566265,0.06683059735389779
richard,0.02739769183826898,0.02399528371631546,0.052124409803113364,0.0,0.07064891624576189,0.026151378368429398,0.021228770438816935,0.013797200149486178,0.03808850707842342,0.04303319435216618
witherington,0.0012178667061864563,0.12330744442863396,0.0533811136323201,0.07064891624576189,0.0,0.16299874345924517,0.22245522957528782,0.1524681585419606,0.17907321588299363,0.28888877034712
moncada,0.039931575995698736,0.008468882248142906,0.03427928286380764,0.026151378368429398,0.16299874345924517,0.0,0.07458654529137039,0.07887520542592852,0.12792030432329315,0.025944641242588197
menie,0.03230763735373267,0.0073776210188100134,0.02201851833181082,0.021228770438816935,0.22245522957528782,0.07458654529137039,0.0,0.06212864913329918,0.07356850080024063,0.09744631451845981
richard middlemas,0.014380975071102415,0.010033963276188178,0.011942949183504418,0.013797200149486178,0.1524681585419606,0.07887520542592852,0.06212864913329918,0.0,0.05108225243161983,0.12502685818762474
menie gray,0.007485781468793394,0.023230004102956076,0.01035908991566265,0.03808850707842342,0.17907321588299363,0.12792030432329315,0.07356850080024063,0.05108225243161983,0.0,0.25952801894756644
lawford,0.09365427750391608,0.0012628204079682176,0.06683059735389779,0.04303319435216618,0.28888877034712,0.025944641242588197,0.09744631451845981,0.12502685818762474,0.25952801894756644,0.0
