,anne,elliot,wentworth,mary,lady russell,walter,charles,louisa,elizabeth,henrietta
anne,0.0,0.012527952543574231,0.011363987925585092,0.001186314013783864,0.001699012464229218,0.01456424188165994,0.0021582521705300144,0.0023870646162886737,0.002897899088708573,0.004356525936444095
elliot,0.012527952543574231,0.0,0.16767058369783278,0.1367458513525205,0.07721938981392477,0.14630265375289705,0.09236565957747753,0.07642315455546256,0.039371162428340614,0.08171320378621397
wentworth,0.011363987925585092,0.16767058369783278,0.0,0.027570510445371732,0.05286061585888917,0.08648793886187871,0.011850435068123137,0.01305737674396387,0.059856529538097274,0.004648357843452157
mary,0.001186314013783864,0.1367458513525205,0.027570510445371732,0.0,0.07234106527027512,0.08726848016555357,0.01323190494331746,0.03504492947510254,0.0463973803457946,0.020222727743781966
lady russell,0.001699012464229218,0.07721938981392477,0.05286061585888917,0.07234106527027512,0.0,0.0732184904324284,0.09587611682681206,0.10534379903567322,0.018621530523896725,0.08783619439565254
walter,0.01456424188165994,0.14630265375289705,0.08648793886187871,0.08726848016555357,0.0732184904324284,0.0,0.1016316171979293,0.143209582189123,0.009344373781530725,0.11908735803190108
charles,0.0021582521705300144,0.09236565957747753,0.011850435068123137,0.01323190494331746,0.09587611682681206,0.1016316171979293,0.0,0.052162789865792855,0.08282819805369268,0.02035360583097614
louisa,0.0023870646162886737,0.07642315455546256,0.01305737674396387,0.03504492947510254,0.10534379903567322,0.143209582189123,0.052162789865792855,0.0,0.13538709526326756,0.01630757922168786
elizabeth,0.002897899088708573,0.039371162428340614,0.059856529538097274,0.0463973803457946,0.018621530523896725,0.009344373781530725,0.08282819805369268,0.13538709526326756,0.0,0.1442670990617557
henrietta,0.004356525936444095,0.08171320378621397,0.004648357843452157,0.020222727743781966,0.08783619439565254,0.11908735803190108,0.02035360583097614,0.01630757922168786,0.1442670990617557,0.0
