,slade,higbie,ballou,winters,carson,jack,williams,smith,cook,hank monk
slade,0.0,0.3173207286932243,0.2196892420112884,0.860029984479965,0.1848800414764673,0.20549279014773872,0.5191971841119508,0.3708916350394753,0.7099348210810588,0.10100605557570057
higbie,0.3173207286932243,0.0,0.09282449467281824,0.5391789498493779,0.1415793645482118,0.15111294178254672,0.19177215216229698,0.18087952840880325,0.38558289006283264,0.19896012278932015
ballou,0.2196892420112884,0.09282449467281824,0.0,0.6367058482383928,0.04484604716899701,0.18581045810833782,0.2920427922604861,0.1992736434099534,0.47580248387985663,0.09471354694565144
winters,0.860029984479965,0.5391789498493779,0.6367058482383928,0.0,0.6671766041482748,0.6228619168971944,0.3285274162131694,0.39420560176830816,0.13905085211735382,0.7507938932824761
carson,0.1848800414764673,0.1415793645482118,0.04484604716899701,0.6671766041482748,0.0,0.16344888438404748,0.3197106101271829,0.18687724929602756,0.4796269526359472,0.04396643026518925
jack,0.20549279014773872,0.15111294178254672,0.18581045810833782,0.6228619168971944,0.16344888438404748,0.0,0.27964558946709717,0.12610281210320218,0.3884872644877559,0.21570958583717836
williams,0.5191971841119508,0.19177215216229698,0.2920427922604861,0.3285274162131694,0.3197106101271829,0.27964558946709717,0.0,0.11438035218885166,0.1532481056339008,0.3800262690061294
smith,0.3708916350394753,0.18087952840880325,0.1992736434099534,0.39420560176830816,0.18687724929602756,0.12610281210320218,0.11438035218885166,0.0,0.2350996993697105,0.2354550899624508
cook,0.7099348210810588,0.38558289006283264,0.47580248387985663,0.13905085211735382,0.4796269526359472,0.3884872644877559,0.1532481056339008,0.2350996993697105,0.0,0.6087904161369457
hank monk,0.10100605557570057,0.19896012278932015,0.09471354694565144,0.7507938932824761,0.04396643026518925,0.21570958583717836,0.3800262690061294,0.2354550899624508,0.6087904161369457,0.0
