,nigel,glenvarloch,dalgarno,richie,heriot,margaret,mungo,george heriot,james,huntinglen
nigel,0.0,0.017548467515907884,0.04388334493774861,0.0674228412282904,0.01690421012309125,0.0376288682915045,0.02379503848298226,0.016843249909402475,0.017944435340491074,0.01796287668779081
glenvarloch,0.017548467515907884,0.0,0.029675530918956056,0.04937686071482378,0.031445157436559366,0.03915027965704566,0.014906380759860376,0.011229382208170144,0.01706204707471256,0.012470840533449561
dalgarno,0.04388334493774861,0.029675530918956056,0.0,0.06952032359961162,0.07245552344724343,0.09017464952252782,0.03885660181547506,0.03836556391656955,0.04831720124615617,0.010911257660179403
richie,0.0674228412282904,0.04937686071482378,0.06952032359961162,0.0,0.07095374044861286,0.19407319044332744,0.04428133714218298,0.0381551424509302,0.03936639449507304,0.057876709976179073
heriot,0.01690421012309125,0.031445157436559366,0.07245552344724343,0.07095374044861286,0.0,0.1480888113252343,0.06555480208333885,0.0091087083514192,0.018518710140183168,0.01800736282126134
margaret,0.0376288682915045,0.03915027965704566,0.09017464952252782,0.19407319044332744,0.1480888113252343,0.0,0.11873567754520624,0.08384473432766312,0.08833852498051621,0.07653310362130165
mungo,0.02379503848298226,0.014906380759860376,0.03885660181547506,0.04428133714218298,0.06555480208333885,0.11873567754520624,0.0,0.022714421578558706,0.03523659410862906,0.04753156692269042
george heriot,0.016843249909402475,0.011229382208170144,0.03836556391656955,0.0381551424509302,0.0091087083514192,0.08384473432766312,0.022714421578558706,0.0,0.022653477333557787,0.04388544212662555
james,0.017944435340491074,0.01706204707471256,0.04831720124615617,0.03936639449507304,0.018518710140183168,0.08833852498051621,0.03523659410862906,0.022653477333557787,0.0,0.06613196948273534
huntinglen,0.01796287668779081,0.012470840533449561,0.010911257660179403,0.057876709976179073,0.01800736282126134,0.07653310362130165,0.04753156692269042,0.04388544212662555,0.06613196948273534,0.0
