,berthe,auguste,madame josserand,duveyrier,trublot,bachelard,monsieur josserand,hortense,clotilde,marie
berthe,0.0,0.008977275882334025,0.0029368343694037478,0.010965958652189103,0.006626737926501375,0.012421859234733615,0.0024647012922789195,0.0005481378366915903,0.006773909485706396,0.016278000526201743
auguste,0.008977275882334025,0.0,0.18697861212127423,0.01904624881929501,0.08796373314757219,0.02863115740636499,0.106937243704124,0.07918743702123493,0.014200685541121364,0.07013986386353317
madame josserand,0.0029368343694037478,0.18697861212127423,0.0,0.038928543449014974,0.024148784019809123,0.025660280187950434,0.003838423090149431,0.0017489815647056311,0.02931158825765411,0.03452497990511997
duveyrier,0.010965958652189103,0.01904624881929501,0.038928543449014974,0.0,0.13807625725920675,0.041022087626923526,0.13643712879828437,0.10240685034077825,0.017769368406388604,0.07928724365716613
trublot,0.006626737926501375,0.08796373314757219,0.024148784019809123,0.13807625725920675,0.0,0.05920842357295447,0.040767926556448335,0.037857929185356645,0.06872389844936978,0.03231129592376669
bachelard,0.012421859234733615,0.02863115740636499,0.025660280187950434,0.041022087626923526,0.05920842357295447,0.0,0.11387416046181881,0.0687175839502249,0.06502467954703843,0.06367895091238833
monsieur josserand,0.0024647012922789195,0.106937243704124,0.003838423090149431,0.13643712879828437,0.040767926556448335,0.11387416046181881,0.0,0.013928837778021957,0.13511250637038338,0.05543712325318586
hortense,0.0005481378366915903,0.07918743702123493,0.0017489815647056311,0.10240685034077825,0.037857929185356645,0.0687175839502249,0.013928837778021957,0.0,0.20166280281498386,0.08361730790459565
clotilde,0.006773909485706396,0.014200685541121364,0.02931158825765411,0.017769368406388604,0.06872389844936978,0.06502467954703843,0.13511250637038338,0.20166280281498386,0.0,0.20180079908755463
marie,0.016278000526201743,0.07013986386353317,0.03452497990511997,0.07928724365716613,0.03231129592376669,0.06367895091238833,0.05543712325318586,0.08361730790459565,0.20180079908755463,0.0
