,mathieu,marianne,constance,beauchene,norine,morange,blaise,denis,seguin,ambroise
mathieu,0.0,0.0012327122861252988,0.006219451655413759,0.0018170090788837683,0.0046474535292686265,0.008456492821559941,0.0046408578148592625,0.0036354614113880347,0.0010050187959301062,0.0009805113930941454
marianne,0.0012327122861252988,0.0,0.03371169784377992,0.01307675196854094,0.02389297710941507,0.0221401835172655,0.008784665213741596,0.008211926741670532,0.012429684987065417,0.006081203160822225
constance,0.006219451655413759,0.03371169784377992,0.0,0.057092288182562845,0.06362278811916817,0.010639185093050962,0.007718481498894796,0.018180123820285124,0.048578276957601044,0.022599380001022285
beauchene,0.0018170090788837683,0.01307675196854094,0.057092288182562845,0.0,0.08100036252844435,0.12103617856909787,0.10095512144103766,0.1825736041385761,0.02254894701095878,0.10810779655979846
norine,0.0046474535292686265,0.02389297710941507,0.06362278811916817,0.08100036252844435,0.0,0.0921477414817605,0.0736049293936813,0.11694151038766698,0.0615769102860443,0.06289325982128977
morange,0.008456492821559941,0.0221401835172655,0.010639185093050962,0.12103617856909787,0.0921477414817605,0.0,0.06363517510985499,0.030640555050953117,0.07446503287758284,0.03421377123845972
blaise,0.0046408578148592625,0.008784665213741596,0.007718481498894796,0.10095512144103766,0.0736049293936813,0.06363517510985499,0.0,0.06753380686835425,0.17484565464163115,0.03572039779356076
denis,0.0036354614113880347,0.008211926741670532,0.018180123820285124,0.1825736041385761,0.11694151038766698,0.030640555050953117,0.06753380686835425,0.0,0.28379897453441894,0.014473482383672498
seguin,0.0010050187959301062,0.012429684987065417,0.048578276957601044,0.02254894701095878,0.0615769102860443,0.07446503287758284,0.17484565464163115,0.28379897453441894,0.0,0.24692541728487052
ambroise,0.0009805113930941454,0.006081203160822225,0.022599380001022285,0.10810779655979846,0.06289325982128977,0.03421377123845972,0.03572039779356076,0.014473482383672498,0.24692541728487052,0.0
