,bixby,brown,stephen,napoleon,mabry,yates,backus,o'connor,bob,tom
bixby,0.0,0.18887622620483407,0.08074286256451838,0.19906341624115612,0.2938934696709521,0.07457599529406886,0.26167605782008896,0.2733974746341718,0.05074290486387929,0.03392941660209964
brown,0.18887622620483407,0.0,0.029277189010710376,0.18298809631313578,0.19068360785715255,0.012499072407169165,0.2022782216486056,0.17206262502136532,0.23861704620523574,0.057715514106731786
stephen,0.08074286256451838,0.029277189010710376,0.0,0.22025226244253313,0.32641523074608914,0.0013963616125865909,0.2820759642094811,0.3227558284144676,0.20191591300326583,0.0622257293294815
napoleon,0.19906341624115612,0.18298809631313578,0.22025226244253313,0.0,0.09266760238556807,0.2030677913804813,0.04679467776787087,0.0852797906140988,0.24191832538485178,0.16864081587926033
mabry,0.2938934696709521,0.19068360785715255,0.32641523074608914,0.09266760238556807,0.0,0.3227512815222388,0.040658826019662135,5.9343658726690956e-05,0.5739724741169274,0.3286952672887668
yates,0.07457599529406886,0.012499072407169165,0.0013963616125865909,0.2030677913804813,0.3227512815222388,0.0,0.2813083157577542,0.32198819056268996,0.2502618702689022,0.10478594240587796
backus,0.26167605782008896,0.2022782216486056,0.2820759642094811,0.04679467776787087,0.040658826019662135,0.2813083157577542,0.0,0.0406545406182692,0.5330602162121604,0.2992195990422318
o'connor,0.2733974746341718,0.17206262502136532,0.3227558284144676,0.0852797906140988,5.9343658726690956e-05,0.32198819056268996,0.0406545406182692,0.0,0.5739634712597604,0.32882143415893905
bob,0.05074290486387929,0.23861704620523574,0.20191591300326583,0.24191832538485178,0.5739724741169274,0.2502618702689022,0.5330602162121604,0.5739634712597604,0.0,0.22299055114819402
tom,0.03392941660209964,0.057715514106731786,0.0622257293294815,0.16864081587926033,0.3286952672887668,0.10478594240587796,0.2992195990422318,0.32882143415893905,0.22299055114819402,0.0
