,micawber,peggotty,dora,copperfield,agnes,traddles,murdstone,dick,steerforth,wickfield
micawber,0.0,0.1545803059837209,0.06360078734547678,0.025184701384842238,0.029077218064778077,0.011630737405585293,0.0907101468766276,0.020092286378131523,0.04203547076285919,0.020183817465390847
peggotty,0.1545803059837209,0.0,0.2191963689120143,0.07147649312207176,0.11713709278860891,0.07886237439742215,0.01830197952940279,0.043866818971730726,0.017798352521216046,0.04817468816209973
dora,0.06360078734547678,0.2191963689120143,0.0,0.11517223111625527,0.07155490774041409,0.0454697424846532,0.3670488361159725,0.08978933795509068,0.1855470121184011,0.08193585935727546
copperfield,0.025184701384842238,0.07147649312207176,0.11517223111625527,0.0,0.037211882258498495,0.025595843344892344,0.1787775678631528,0.04189533881240073,0.028981259299802543,0.01709365974163663
agnes,0.029077218064778077,0.11713709278860891,0.07155490774041409,0.037211882258498495,0.0,0.02480380431588272,0.29739814273536275,0.05175508161880014,0.07506738142158181,0.019430167134579998
traddles,0.011630737405585293,0.07886237439742215,0.0454697424846532,0.025595843344892344,0.02480380431588272,0.0,0.46098262621105895,0.14892907720398496,0.18762749256271807,0.07768654294106904
murdstone,0.0907101468766276,0.01830197952940279,0.3670488361159725,0.1787775678631528,0.29739814273536275,0.46098262621105895,0.0,0.2202135669896258,0.08023611056170588,0.1789709950032363
dick,0.020092286378131523,0.043866818971730726,0.08978933795509068,0.04189533881240073,0.05175508161880014,0.14892907720398496,0.2202135669896258,0.0,0.09267699577768916,0.0247012143861303
steerforth,0.04203547076285919,0.017798352521216046,0.1855470121184011,0.028981259299802543,0.07506738142158181,0.18762749256271807,0.08023611056170588,0.09267699577768916,0.0,0.13649209656249453
wickfield,0.020183817465390847,0.04817468816209973,0.08193585935727546,0.01709365974163663,0.019430167134579998,0.07768654294106904,0.1789709950032363,0.0247012143861303,0.13649209656249453,0.0
