,CharlesDickens,EmileZola,FyodorDostoyevski,JaneAusten,MarkTwain,WalterScott
CharlesDickens,1,0.648472222222222,0.4290625,0.5670833333333328,0.5328125,0.606111111111111
EmileZola,0.648472222222222,1,0.4909375,0.6808333333333337,0.7421875,0.793749999999998
FyodorDostoyevski,0.4290625,0.4909375,1,0.7116666666666664,0.5878125,0.61
JaneAusten,0.5670833333333328,0.6808333333333337,0.7116666666666664,1,0.6541666666666679,0.9904166666666663
MarkTwain,0.5328125,0.7421875,0.5878125,0.6541666666666679,1,0.7428125
WalterScott,0.606111111111111,0.793749999999998,0.61,0.9904166666666663,0.7428125,1
